id,channel,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,p_treat,p_ctrl,uplift,rank,recommended
Next_3694,Referral,1,55.99,4,18,1,0.348,0.1878,0.1603,55,1
Next_386,Instagram,1,78.99,1,28,1,0.4406,0.2804,0.1601,56,1
Next_5026,Instagram,3,73.49,4,29,1,0.4534,0.2939,0.1596,57,1
Next_348,Referral,3,48.49,1,20,1,0.6189,0.4598,0.1591,58,1
Next_245,Instagram,3,61.99,2,29,1,0.5389,0.3802,0.1587,59,1
Next_36,Referral,0,0.0,2,13,1,0.3266,0.168,0.1586,60,1
Next_583,Other,0,0.0,7,14,1,0.2576,0.0994,0.1582,61,1
Next_2514,Other,1,123.98,1,9,1,0.5079,0.351,0.1569,62,1
Next_1406,Instagram,0,0.0,0,21,1,0.3601,0.2034,0.1568,63,1
Next_2995,Referral,4,55.99,4,17,1,0.5317,0.3754,0.1563,64,1
Next_515,Other,3,63.99,4,4,1,0.4685,0.3131,0.1554,65,1
Next_85,Referral,1,83.99,5,20,1,0.3253,0.1716,0.1536,66,1
Next_536,Instagram,0,0.0,2,24,1,0.3084,0.1556,0.1528,67,1
Next_5894,Instagram,0,0.0,2,24,1,0.3084,0.1556,0.1528,68,1
Next_686,Referral,1,53.99,1,12,1,0.4176,0.2654,0.1522,69,1
Next_455,Referral,4,69.49,5,16,1,0.4796,0.3277,0.1518,70,1
Next_3385,Other,2,38.99,6,4,1,0.3257,0.1745,0.1511,71,1
Next_5725,Referral,1,57.49,1,12,1,0.4175,0.2664,0.1511,72,1
Next_5766,Instagram,0,0.0,1,21,1,0.3218,0.1725,0.1493,73,1
Next_334,Instagram,0,0.0,0,19,1,0.3436,0.195,0.1487,74,1
Next_4605,Instagram,0,0.0,2,23,1,0.3007,0.1522,0.1486,75,1
Next_591,Instagram,2,55.99,2,23,1,0.4197,0.2725,0.1473,76,1
Next_2839,Instagram,1,45.49,0,21,1,0.4214,0.2744,0.1469,77,1
Next_6000,Instagram,0,0.0,3,25,1,0.2805,0.1338,0.1467,78,1
Next_2729,Instagram,2,36.99,0,21,1,0.4869,0.3413,0.1456,79,1
Next_4552,Instagram,0,0.0,0,18,1,0.3355,0.1909,0.1446,80,1
Next_1885,Instagram,0,0.0,0,18,1,0.3355,0.1909,0.1446,81,1
Next_3925,Instagram,0,0.0,2,22,1,0.2932,0.1488,0.1444,82,1
Next_4071,Instagram,0,0.0,2,22,1,0.2932,0.1488,0.1444,83,1
Next_4613,Referral,1,107.98,0,15,1,0.4849,0.3411,0.1438,84,1
Next_2247,Instagram,0,0.0,4,27,1,0.2611,0.1174,0.1437,85,1
Next_2143,Referral,2,144.98,1,22,1,0.5698,0.4265,0.1433,86,1
Next_4130,Instagram,3,69.99,3,24,1,0.451,0.3077,0.1433,87,1
Next_1735,Instagram,1,78.49,0,23,1,0.438,0.2948,0.1432,88,1
Next_5319,Instagram,0,0.0,3,24,1,0.2732,0.1308,0.1424,89,1
Next_624,Instagram,1,52.49,1,21,1,0.3802,0.2378,0.1424,90,1
Next_1266,Referral,0,0.0,4,14,1,0.2633,0.1215,0.1418,91,1
Next_1692,Referral,1,75.99,3,13,1,0.3451,0.2035,0.1416,92,1
Next_163,Instagram,3,49.99,1,23,1,0.5277,0.3867,0.141,93,1
Next_3217,Other,1,134.98,1,5,1,0.4714,0.331,0.1404,94,1
Next_3277,Instagram,3,54.99,5,23,1,0.3607,0.2203,0.1404,95,1
Next_4233,Referral,0,0.0,3,11,1,0.2755,0.1353,0.1402,96,1
Next_2238,Instagram,1,68.49,0,21,1,0.4206,0.2811,0.1395,97,1
Next_3368,Other,3,48.99,0,6,1,0.6527,0.5137,0.139,98,1
Next_1300,Referral,3,72.99,5,12,1,0.3798,0.2413,0.1385,99,1
Next_5867,Referral,0,0.0,5,16,1,0.2447,0.1064,0.1383,100,1
Next_503,Instagram,3,57.99,3,21,1,0.4247,0.2876,0.1371,101,1
Next_5795,Instagram,0,0.0,1,18,1,0.2986,0.1616,0.137,102,1
Next_5056,Other,0,0.0,6,6,1,0.2355,0.0987,0.1368,103,1
Next_3106,Instagram,2,66.99,4,23,1,0.3392,0.2024,0.1368,104,1
Next_4275,Instagram,0,0.0,0,16,1,0.3196,0.1829,0.1367,105,1
Next_521,Instagram,0,0.0,0,16,1,0.3196,0.1829,0.1367,106,1
Next_4824,Referral,1,51.99,4,12,1,0.3006,0.1641,0.1365,107,1
Next_4901,Instagram,3,69.99,3,22,1,0.4331,0.2966,0.1365,108,1
Next_1475,Instagram,0,0.0,2,20,1,0.2784,0.1423,0.1361,109,1
Next_3285,Instagram,4,45.99,2,23,1,0.5509,0.4153,0.1357,110,1
Next_3294,Referral,3,60.99,7,13,1,0.3113,0.1763,0.135,111,1
Next_1171,Instagram,4,54.99,5,21,1,0.4059,0.2711,0.1348,112,1
Next_5219,Instagram,2,60.49,0,20,1,0.4771,0.3431,0.134,113,1
Next_1664,Referral,4,101.98,5,14,1,0.4605,0.3265,0.1339,114,1
Next_3787,Other,3,119.98,5,3,1,0.4157,0.2823,0.1335,115,1
Next_3256,Instagram,4,119.98,5,27,1,0.457,0.3236,0.1334,116,1
Next_2197,Referral,1,63.99,5,14,1,0.2801,0.1467,0.1333,117,1
Next_836,Referral,2,66.49,4,10,1,0.3419,0.2087,0.1331,118,1
Next_5648,Instagram,0,0.0,1,17,1,0.2911,0.158,0.133,119,1
Next_2283,Referral,1,57.99,6,16,1,0.2608,0.128,0.1329,120,1
Next_2056,Instagram,4,46.49,3,20,1,0.4813,0.3492,0.1322,121,1
Next_775,Referral,2,109.98,0,15,1,0.5506,0.4186,0.1319,122,1
Next_1160,Instagram,0,0.0,4,24,1,0.2407,0.1095,0.1312,123,1
Next_3938,Instagram,0,0.0,4,24,1,0.2407,0.1095,0.1312,124,1
Next_4545,Referral,1,91.98,4,13,1,0.3072,0.176,0.1312,125,1
Next_3434,Instagram,1,67.99,5,26,1,0.2704,0.1394,0.131,126,1
Next_4406,Referral,2,51.99,5,10,1,0.305,0.1742,0.1307,127,1
Next_1517,Referral,0,0.0,1,4,1,0.2935,0.1633,0.1301,128,1
Next_1932,Instagram,0,0.0,3,21,1,0.2522,0.1221,0.1301,129,1
Next_905,Referral,0,0.0,6,17,1,0.2207,0.0908,0.1299,130,1
Next_4758,Instagram,2,53.49,2,18,1,0.3765,0.2465,0.1299,131,1
Next_2958,Instagram,1,59.99,3,21,1,0.3034,0.1739,0.1296,132,1
Next_4453,Referral,0,0.0,4,11,1,0.2428,0.1133,0.1295,133,1
Next_2747,Referral,2,74.49,2,8,1,0.4044,0.2751,0.1293,134,1
Next_829,Instagram,0,0.0,1,16,1,0.2836,0.1546,0.1291,135,1
Next_3813,Instagram,0,0.0,0,14,1,0.304,0.1752,0.1289,136,1
Next_1120,Instagram,0,0.0,0,14,1,0.304,0.1752,0.1289,137,1
Next_2443,Other,0,0.0,5,1,1,0.2336,0.1051,0.1285,138,1
Next_2760,Instagram,4,53.99,4,19,1,0.4298,0.3014,0.1284,139,1
Next_581,Instagram,2,54.99,4,20,1,0.3157,0.1874,0.1283,140,1
Next_3979,Instagram,4,52.99,5,19,1,0.3886,0.2603,0.1283,141,1
Next_5985,Instagram,0,0.0,2,18,1,0.2641,0.136,0.1281,142,1
Next_4140,Instagram,1,60.99,0,17,1,0.386,0.2583,0.1278,143,1
Next_1051,Instagram,1,64.99,1,18,1,0.3546,0.227,0.1276,144,1
Next_4421,Instagram,1,65.49,1,18,1,0.3546,0.2271,0.1274,145,1
Next_3182,Instagram,2,55.49,1,17,1,0.4085,0.2813,0.1272,146,1
Next_728,Instagram,1,53.99,1,17,1,0.3467,0.2197,0.127,147,1
Next_5074,Instagram,3,48.99,1,18,1,0.4826,0.3557,0.1269,148,1
Next_502,Instagram,2,61.49,4,20,1,0.3155,0.1888,0.1267,149,1
Next_1049,Referral,0,0.0,1,3,1,0.286,0.1598,0.1262,150,1
Next_4881,Referral,1,67.49,2,7,1,0.3349,0.2088,0.1261,151,1
Next_1684,Instagram,0,0.0,3,20,1,0.2455,0.1193,0.1261,152,1
Next_5600,Instagram,0,0.0,3,20,1,0.2455,0.1193,0.1261,153,1
Next_611,Instagram,2,129.98,0,26,1,0.5291,0.4034,0.1256,154,1
Next_3775,Referral,0,0.0,0,1,1,0.3065,0.1809,0.1256,155,1
Next_2937,Instagram,3,42.99,4,17,1,0.3504,0.2251,0.1253,156,1
Next_3377,Instagram,0,0.0,1,15,1,0.2764,0.1512,0.1252,157,1
Next_4195,Instagram,1,57.49,5,24,1,0.2566,0.1315,0.1252,158,1
Next_3953,Instagram,2,61.99,1,17,1,0.4082,0.2832,0.1251,159,1
Next_3858,Instagram,0,0.0,0,13,1,0.2964,0.1714,0.125,160,1
Next_2653,Instagram,0,0.0,0,13,1,0.2964,0.1714,0.125,161,1
Next_3643,Instagram,2,40.99,5,20,1,0.2804,0.1558,0.1246,162,1
Next_3803,Instagram,4,54.49,7,20,1,0.319,0.1945,0.1244,163,1
Next_2096,Instagram,1,60.49,2,18,1,0.3167,0.1924,0.1243,164,1
Next_4581,Instagram,0,0.0,2,17,1,0.2571,0.1329,0.1242,165,1
Next_2862,Instagram,0,0.0,2,17,1,0.2571,0.1329,0.1242,166,1
Next_392,Other,2,167.97,4,4,1,0.4005,0.2764,0.1241,167,1
Next_4692,Facebook,0,0.0,1,27,1,0.2669,0.1429,0.124,168,1
Next_5919,Facebook,0,0.0,1,27,1,0.2669,0.1429,0.124,169,1
Next_5017,Instagram,0,0.0,5,25,1,0.217,0.0934,0.1235,170,1
Next_1581,Instagram,0,0.0,5,25,1,0.217,0.0934,0.1235,171,1
Next_4957,Instagram,1,78.49,2,19,1,0.3241,0.2007,0.1234,172,1
Next_2347,Instagram,0,0.0,4,22,1,0.2277,0.1044,0.1233,173,1
Next_3565,Instagram,2,130.98,2,23,1,0.4173,0.2945,0.1228,174,1
Next_5068,Instagram,2,68.49,3,18,1,0.3369,0.2145,0.1224,175,1
Next_5763,Instagram,0,0.0,3,19,1,0.2388,0.1166,0.1222,176,1
Next_3310,Instagram,0,0.0,3,19,1,0.2388,0.1166,0.1222,177,1
Next_282,Instagram,3,60.99,3,17,1,0.3896,0.2674,0.1222,178,1
Next_2636,Referral,0,0.0,5,12,1,0.219,0.0968,0.1221,179,1
Next_3615,Instagram,1,61.99,4,21,1,0.2686,0.147,0.1215,180,1
Next_4879,Instagram,0,0.0,1,14,1,0.2692,0.1478,0.1214,181,1
Next_4102,Instagram,0,0.0,0,12,1,0.2889,0.1677,0.1212,182,1
Next_4527,Instagram,2,62.49,0,16,1,0.4411,0.3204,0.1207,183,1
Next_5544,Facebook,0,0.0,0,24,1,0.2792,0.1588,0.1205,184,1
Next_1683,Instagram,0,0.0,2,16,1,0.2503,0.1299,0.1204,185,1
Next_429,Instagram,0,0.0,2,16,1,0.2503,0.1299,0.1204,186,1
Next_781,Instagram,1,50.49,0,14,1,0.361,0.2407,0.1203,187,1
Next_4784,Instagram,3,62.49,4,17,1,0.3498,0.23,0.1198,188,1
Next_2027,Instagram,2,57.99,1,15,1,0.391,0.2715,0.1195,189,1
Next_2669,Instagram,2,74.99,0,17,1,0.4496,0.3301,0.1195,190,1
Next_2977,Instagram,0,0.0,4,21,1,0.2214,0.102,0.1194,191,1
Next_4438,Facebook,3,66.99,2,28,1,0.4103,0.2914,0.1188,192,1
Next_4390,Referral,0,0.0,1,1,1,0.2715,0.1528,0.1186,193,1
Next_3500,Referral,0,0.0,1,1,1,0.2715,0.1528,0.1186,194,1
Next_1147,Instagram,1,40.99,3,17,1,0.2742,0.1556,0.1186,195,1
Next_3662,Instagram,3,89.98,6,21,1,0.3058,0.1873,0.1185,196,1
Next_3287,Instagram,3,55.99,4,16,1,0.3419,0.2238,0.1181,197,1
Next_4597,Instagram,3,55.49,5,17,1,0.3123,0.1946,0.1177,198,1
Next_3844,Instagram,1,43.49,4,19,1,0.255,0.1374,0.1177,199,1
Next_127,Instagram,1,61.49,1,15,1,0.3302,0.2126,0.1176,200,1
Next_3665,Instagram,2,67.99,4,18,1,0.2999,0.1823,0.1176,201,1
Next_4315,Instagram,0,0.0,1,13,1,0.2621,0.1445,0.1176,202,1
Next_5558,Instagram,1,61.99,1,15,1,0.3302,0.2127,0.1175,203,1
Next_310,Instagram,0,0.0,0,11,1,0.2816,0.1641,0.1175,204,1
Next_2559,Referral,3,60.99,3,4,1,0.3924,0.2752,0.1172,205,1
Next_3916,Instagram,3,57.49,5,17,1,0.3122,0.195,0.1172,206,1
Next_2123,Instagram,4,158.98,3,30,1,0.5677,0.4509,0.1168,207,1
Next_4669,Instagram,3,50.99,6,18,1,0.2843,0.1675,0.1168,208,1
Next_607,Instagram,1,53.99,1,14,1,0.3225,0.2065,0.116,209,1
Next_366,Instagram,1,87.99,0,16,1,0.3767,0.2607,0.1159,210,1
Next_308,Instagram,1,64.49,2,16,1,0.3011,0.1853,0.1159,211,1
Next_2624,Referral,2,63.99,1,3,1,0.4023,0.2864,0.1158,212,1
Next_194,Referral,2,215.97,1,22,1,0.5675,0.4518,0.1157,213,1
Next_3203,Instagram,3,63.49,5,17,1,0.3121,0.1964,0.1157,214,1
Next_996,Instagram,3,51.99,4,15,1,0.3339,0.2183,0.1156,215,1
Next_3181,Instagram,0,0.0,4,20,1,0.2152,0.0996,0.1156,216,1
Next_594,Instagram,0,0.0,4,20,1,0.2152,0.0996,0.1156,217,1
Next_1273,Instagram,0,0.0,4,20,1,0.2152,0.0996,0.1156,218,1
Next_4749,Instagram,1,58.49,6,24,1,0.2254,0.1102,0.1153,219,1
Next_1323,Instagram,2,185.97,3,26,1,0.4006,0.2855,0.1151,220,1
Next_4889,Instagram,1,67.99,0,14,1,0.3604,0.2453,0.1151,221,1
Next_267,Instagram,3,170.97,6,26,1,0.3431,0.2281,0.115,222,1
Next_5541,Facebook,0,0.0,2,27,1,0.2349,0.1199,0.115,223,1
Next_2890,Instagram,0,0.0,3,17,1,0.2259,0.1113,0.1146,224,1
Next_5150,Instagram,0,0.0,3,17,1,0.2259,0.1113,0.1146,225,1
Next_156,Instagram,1,129.98,5,25,1,0.2618,0.1472,0.1146,226,1
Next_207,Instagram,2,56.99,3,15,1,0.3134,0.1989,0.1145,227,1
Next_2442,Referral,0,0.0,5,10,1,0.2068,0.0923,0.1145,228,1
Next_4282,Instagram,3,134.98,6,23,1,0.3201,0.2058,0.1143,229,1
Next_1894,Instagram,1,71.49,0,14,1,0.3603,0.2463,0.1141,230,1
Next_339,Instagram,0,0.0,1,12,1,0.2552,0.1413,0.1139,231,1
Next_2537,Instagram,4,54.49,7,17,1,0.2959,0.1825,0.1134,232,1
Next_1183,Instagram,2,70.49,7,23,1,0.2352,0.122,0.1132,233,1
Next_5796,Instagram,1,51.99,1,13,1,0.3147,0.2017,0.113,234,1
Next_229,Instagram,0,0.0,2,14,1,0.2369,0.1241,0.1129,235,1
Next_4000,Instagram,3,88.98,4,17,1,0.3491,0.2369,0.1122,236,1
Next_4017,Instagram,2,105.98,3,18,1,0.3358,0.2238,0.112,237,1
Next_1964,Instagram,0,0.0,4,19,1,0.2092,0.0973,0.1119,238,1
Next_4184,Instagram,0,0.0,6,25,1,0.1894,0.0776,0.1117,239,1
Next_1651,Instagram,4,65.99,4,15,1,0.3944,0.2833,0.1111,240,1
Next_2177,Instagram,0,0.0,3,16,1,0.2196,0.1087,0.1109,241,1
Next_3876,Instagram,6,68.99,6,18,1,0.4663,0.3554,0.1109,242,1
Next_395,Instagram,2,117.98,5,21,1,0.2857,0.1748,0.1109,243,1
Next_5095,Instagram,3,53.99,3,13,1,0.356,0.2454,0.1106,244,1
Next_1968,Referral,6,66.99,4,13,1,0.6243,0.514,0.1103,245,1
Next_4770,Facebook,3,70.99,5,28,1,0.2941,0.1839,0.1102,246,1
Next_2511,Instagram,0,0.0,1,11,1,0.2484,0.1382,0.1102,247,1
Next_3838,Instagram,0,0.0,0,9,1,0.2671,0.157,0.1102,248,1
Next_5254,Referral,1,62.99,1,1,1,0.3248,0.2152,0.1096,249,1
Next_3632,Referral,1,63.49,1,1,1,0.3248,0.2153,0.1095,250,1
Next_59,Facebook,0,0.0,0,21,1,0.2579,0.1485,0.1094,251,1
Next_255,Facebook,0,0.0,0,21,1,0.2579,0.1485,0.1094,252,1
Next_1408,Facebook,0,0.0,0,21,1,0.2579,0.1485,0.1094,253,1
Next_1590,Facebook,0,0.0,0,21,1,0.2579,0.1485,0.1094,254,1
Next_2462,Facebook,3,75.99,2,26,1,0.3926,0.2833,0.1093,255,1
Next_326,Instagram,0,0.0,2,13,1,0.2305,0.1213,0.1092,256,1
Next_5459,Instagram,0,0.0,2,13,1,0.2305,0.1213,0.1092,257,1
Next_5791,Instagram,0,0.0,2,13,1,0.2305,0.1213,0.1092,258,1
Next_2176,Instagram,1,49.49,4,17,1,0.2414,0.1322,0.1091,259,1
Next_4539,Instagram,4,123.98,5,20,1,0.395,0.2859,0.1091,260,1
Next_3216,Referral,0,0.0,3,3,1,0.2216,0.1126,0.1091,261,1
Next_300,Instagram,3,56.99,1,13,1,0.4374,0.3287,0.1087,262,1
Next_4125,Instagram,4,51.99,1,16,1,0.5302,0.4219,0.1083,263,1
Next_1704,Instagram,0,0.0,4,18,1,0.2033,0.095,0.1083,264,1
Next_2000,Instagram,0,0.0,6,24,1,0.1839,0.0758,0.1081,265,1
Next_5434,Instagram,6,56.99,7,15,1,0.3983,0.2902,0.108,266,1
Next_2184,Instagram,1,70.99,1,13,1,0.3142,0.2062,0.108,267,1
Next_1279,Instagram,3,66.99,4,14,1,0.3254,0.2175,0.108,268,1
Next_3322,Instagram,1,57.99,0,11,1,0.3361,0.2285,0.1076,269,1
Next_4340,Instagram,1,53.99,2,13,1,0.2791,0.1715,0.1076,270,1
Next_1179,Instagram,2,51.49,5,16,1,0.2519,0.1443,0.1076,271,1
Next_2016,Instagram,1,59.99,1,12,1,0.3067,0.1994,0.1074,272,1
Next_3475,Instagram,0,0.0,3,15,1,0.2135,0.1062,0.1073,273,1
Next_150,Instagram,3,75.98,2,14,1,0.404,0.2968,0.1072,274,1
Next_5081,Referral,0,0.0,6,11,1,0.1856,0.0786,0.1071,275,1
Next_3647,Instagram,6,52.49,5,16,1,0.4914,0.3847,0.1066,276,1
Next_3096,Instagram,0,0.0,1,10,1,0.2417,0.1351,0.1066,277,1
Next_960,Instagram,3,95.98,0,19,1,0.5327,0.4262,0.1065,278,1
Next_4144,Instagram,2,55.99,4,14,1,0.2707,0.1647,0.106,279,1
Next_771,Instagram,1,65.99,4,17,1,0.241,0.135,0.106,280,1
Next_1176,Facebook,0,0.0,0,20,1,0.251,0.1452,0.1058,281,1
Next_4145,Facebook,0,0.0,0,20,1,0.251,0.1452,0.1058,282,1
Next_5995,Referral,0,0.0,3,2,1,0.2154,0.11,0.1055,283,1
Next_2946,Instagram,3,113.98,6,19,1,0.29,0.1846,0.1054,284,1
Next_4747,Instagram,1,203.97,1,24,1,0.4013,0.296,0.1053,285,1
Next_1333,Instagram,3,69.99,6,16,1,0.2693,0.1641,0.1052,286,1
Next_745,Instagram,1,90.98,0,13,1,0.3515,0.2466,0.1048,287,1
Next_1306,Instagram,4,53.99,2,13,1,0.4605,0.3558,0.1046,288,1
Next_2085,Instagram,1,56.99,4,16,1,0.2346,0.1305,0.1042,289,1
Next_3684,Referral,3,61.99,6,3,1,0.2718,0.1679,0.1039,290,1
Next_3144,Instagram,1,58.49,4,16,1,0.2346,0.1307,0.1039,291,1
Next_2918,Instagram,0,0.0,3,14,1,0.2075,0.1037,0.1038,292,1
Next_5212,Referral,0,0.0,5,7,1,0.1896,0.0859,0.1037,293,1
Next_3190,Instagram,1,71.99,0,11,1,0.3357,0.232,0.1036,294,1
Next_4113,Instagram,1,53.99,5,18,1,0.2175,0.114,0.1036,295,1
Next_1272,Instagram,1,48.49,0,9,1,0.3204,0.217,0.1034,296,1
Next_8,Instagram,5,77.99,7,15,1,0.3365,0.2331,0.1034,297,1
Next_1811,Instagram,3,104.98,1,17,1,0.4717,0.3684,0.1034,298,1
Next_5575,Instagram,0,0.0,1,9,1,0.2351,0.132,0.1031,299,1
Next_4498,Instagram,0,0.0,1,9,1,0.2351,0.132,0.1031,300,1
Next_3824,Instagram,2,60.49,3,12,1,0.2904,0.1874,0.1031,301,1
Next_2854,Other,2,61.49,1,27,0,0.354,0.251,0.1031,302,1
Next_2140,Referral,3,65.99,6,3,1,0.2717,0.1687,0.103,303,1
Next_3226,Instagram,2,69.99,4,14,1,0.2704,0.1675,0.1028,304,1
Next_1242,Instagram,1,149.97,0,18,1,0.3919,0.2891,0.1028,305,1
Next_2738,Instagram,1,141.98,3,19,1,0.2862,0.1836,0.1026,306,1
Next_3779,Instagram,5,46.49,4,12,1,0.4325,0.33,0.1026,307,1
Next_3714,Instagram,4,149.98,7,21,1,0.3242,0.2216,0.1025,308,1
Next_171,Facebook,4,75.99,3,25,1,0.4062,0.3037,0.1024,309,1
Next_3252,Instagram,3,59.99,5,13,1,0.2819,0.1796,0.1024,310,1
Next_5757,Instagram,1,61.49,5,18,1,0.2174,0.1151,0.1023,311,1
Next_1104,Instagram,3,70.99,3,12,1,0.3473,0.2451,0.1021,312,1
Next_5838,Instagram,0,0.0,2,11,1,0.2179,0.1158,0.1021,313,1
Next_5043,Facebook,0,0.0,3,26,1,0.1997,0.0978,0.102,314,1
Next_4934,Instagram,3,54.49,7,16,1,0.2374,0.1355,0.1019,315,1
Next_482,Instagram,4,62.99,6,13,1,0.301,0.1994,0.1017,316,1
Next_4520,Instagram,6,65.99,5,16,1,0.4909,0.3894,0.1016,317,1
Next_2287,Other,0,0.0,1,25,0,0.2327,0.1313,0.1014,318,1
Next_4805,Instagram,0,0.0,5,19,1,0.1823,0.0809,0.1014,319,1
Next_2394,Instagram,0,0.0,5,19,1,0.1823,0.0809,0.1014,320,1
Next_5830,Instagram,4,54.99,4,11,1,0.3607,0.2593,0.1014,321,1
Next_2384,Other,8,58.49,6,12,1,0.7578,0.6565,0.1012,322,1
Next_3239,Instagram,0,0.0,4,16,1,0.1918,0.0906,0.1012,323,1
Next_1348,Instagram,0,0.0,4,16,1,0.1918,0.0906,0.1012,324,1
Next_2639,Facebook,4,61.99,0,28,1,0.5604,0.4592,0.1012,325,1
Next_3567,Instagram,0,0.0,6,22,1,0.1733,0.0722,0.1011,326,1
Next_1870,Instagram,1,55.99,3,13,1,0.246,0.145,0.101,327,1
Next_2622,Instagram,2,64.99,0,10,1,0.3883,0.2878,0.1005,328,1
Next_3204,Instagram,3,63.99,7,16,1,0.2372,0.1371,0.1001,329,1
Next_3764,Instagram,3,96.98,5,15,1,0.2958,0.1957,0.1001,330,1
Next_5727,Instagram,5,70.99,4,14,1,0.4496,0.3497,0.0999,331,1
Next_2820,Instagram,5,150.98,4,25,1,0.5462,0.4464,0.0998,332,1
Next_1328,Instagram,2,120.98,5,18,1,0.264,0.1643,0.0997,333,1
Next_5978,Instagram,2,139.98,4,18,1,0.2979,0.1983,0.0996,334,1
Next_4823,Referral,1,191.97,4,11,1,0.2893,0.1897,0.0996,335,1
Next_4573,Instagram,3,59.99,2,10,1,0.3702,0.2707,0.0994,336,1
Next_1090,Instagram,5,63.99,4,13,1,0.4409,0.3415,0.0994,337,1
